tname              qname             
104m_NBN_A_156     1m8e_7NI_A_906    
3icn_NI9_A_363     104m_NBN_A_156    
10gs_VWW_A_210     1n0h_CIE_B_1695   
1u3r_338_A_201     10gs_VWW_A_210    
2vxh_HEM_A_1001    10gs_VWW_A_210    
2w87_GCU_B_1148    10gs_VWW_A_210    
10gs_VWW_A_210     2ye7_2GA_A_1224   
3fmw_FAD_C_534     10gs_VWW_A_210    
10gs_VWW_A_210     3hyv_MES_C_900    
3sis_MN0_A_6535    10gs_VWW_A_210    
10gs_VWW_A_210     3ta6_FLC_B_268    
11ba_UPA_B_126     1gvg_PCX_A_331    
11ba_UPA_B_126     3guk_MBN_B_501    
2cbo_TH2_A_120     11bg_U2G_A_131    
11bg_U2G_A_131     2o73_2AL_E_2001   
3hfj_DZ9_A_202     11bg_U2G_A_131    
121p_GCP_A_167     2rbz_282_X_2001   
2x9k_BOG_A_1284    121p_GCP_A_167    
3o2a_O30_A_264     121p_GCP_A_167    
3mla_JJZ_A_190     12as_AMP_B_332    
12as_AMP_B_332     3rme_RME_B_418    
12as_ASN_B_331     1w19_DTV_D_1162   
2v6m_MES_B_1332    12as_ASN_B_331    
3zw2_GLA_C_100     12as_ASN_B_331    
2uyv_TLA_A_1275    12gs_0HH_A_210    
12gs_0HH_A_210     3b1j_NAD_A_340    
1lin_TFP_A_156     13gs_SAS_A_211    
13gs_SAS_A_211     2b45_EPE_X_1001   
2yln_CYS_A_500     13gs_SAS_A_211    
2z08_ATP_A_1001    13gs_SAS_A_211    
3utf_FDA_D_511     13gs_SAS_A_211    
13pk_3PG_A_423     1o5r_FR9_A_1001   
13pk_3PG_A_423     1th6_OIN_A_401    
2q0e_GTP_A_501     13pk_3PG_A_423    
2uuo_LK3_A_1441    13pk_3PG_A_423    
3uuo_0CV_B_1       13pk_3PG_A_423    
3c79_IM4_C_303     13pk_ADP_B_421    
3hh5_B24_A_168     13pk_ADP_B_421    
13pk_ADP_B_421     3ocd_HEC_C_401    
13pk_ADP_B_421     7fd1_F3S_A_108    
2f1k_NAP_A_1350    154l_NAG_A_188    
2zws_PLM_A_652     154l_NAG_A_188    
154l_NAG_A_188     3rj7_RCS_A_302    
155c_HEM_A_135     2cmb_BOG_A_1283   
155c_HEM_A_135     2ny1_SUC_D_4000   
155c_HEM_A_135     2qyo_QSO_A_701    
3clx_X22_B_600     155c_HEM_A_135    
1oty_6MP_A_247     16pk_BIS_A_499    
2p55_MRA_A_9000    16pk_BIS_A_499    
16pk_BIS_A_499     2w5f_XYP_A_1001   
16pk_BIS_A_499     3bex_PAU_D_248    
16pk_BIS_A_499     3cbf_N5F_B_501    
182l_BZF_A_401     1w7m_DPN_A_914    
2cb8_MYA_B_1088    183l_DEN_A_400    
2xe5_C8E_D_1344    183l_DEN_A_400    
3byo_AM9_A_1       184l_I4B_A_401    
184l_I4B_A_401     3sr5_Q12_X_169    
2z09_ACP_A_2001    185l_IND_A_400    
3g8w_FLC_C_172     185l_IND_A_400    
4ecg_1PE_A_510     185l_IND_A_400    
1m3q_ANG_A_326     186l_N4B_A_400    
